"","PSCCOM"
"1983:03",242.900000
"1983:04",249.300000
"1983:05",248.700000
"1983:06",247.600000
"1983:07",250.500000
"1983:08",267.000000
"1983:09",269.099999
"1983:10",265.900000
"1983:11",268.000000
"1983:12",273.000000
"1984:01",279.900000
"1984:02",277.200000
"1984:03",285.799999
"1984:04",287.200000
"1984:05",291.299999
"1984:06",287.200000
"1984:07",278.599999
"1984:08",273.900000
"1984:09",272.299999
"1984:10",267.000000
"1984:11",270.200000
"1984:12",261.299999
"1985:01",255.400000
"1985:02",254.000000
"1985:03",252.900000
"1985:04",256.200000
"1985:05",250.900000
"1985:06",245.200000
"1985:07",240.500000
"1985:08",234.800000
"1985:09",230.400000
"1985:10",229.400000
"1985:11",233.200000
"1985:12",234.200000
"1986:01",232.700000
"1986:02",228.000000
"1986:03",218.600000
"1986:04",213.900000
"1986:05",215.400000
"1986:06",216.000000
"1986:07",220.600000
"1986:08",209.800000
"1986:09",213.300000
"1986:10",222.400000
"1986:11",227.100000
"1986:12",227.800000
"1987:01",229.900000
"1987:02",226.350000
"1987:03",226.900000
"1987:04",233.900000
"1987:05",247.500000
"1987:06",250.500000
"1987:07",253.400000
"1987:08",252.200000
"1987:09",255.400000
"1987:10",255.600000
"1987:11",253.100000
"1987:12",255.400000
"1988:01",260.700000
"1988:02",259.200000
"1988:03",258.400000
"1988:04",262.200000
"1988:05",269.000000
"1988:06",282.299999
"1988:07",281.700000
"1988:08",279.000000
"1988:09",275.400000
"1988:10",274.099999
"1988:11",273.599999
"1988:12",280.799999
"1989:01",283.700000
"1989:02",285.700000
"1989:03",287.799999
"1989:04",284.799999
"1989:05",282.700000
"1989:06",281.000000
"1989:07",280.000000
"1989:08",276.400000
"1989:09",274.700000
"1989:10",273.799999
"1989:11",268.700000
"1989:12",261.500000
"1990:01",260.500000
"1990:02",261.400000
"1990:03",271.299999
"1990:04",273.200000
"1990:05",276.400000
"1990:06",277.299999
"1990:07",277.099999
"1990:08",272.500000
"1990:09",271.700000
"1990:10",268.400000
"1990:11",261.200000
"1990:12",259.799999
"1991:01",257.299999
"1991:02",255.400000
"1991:03",256.000000
"1991:04",255.800000
"1991:05",251.400000
"1991:06",247.600000
"1991:07",243.400000
"1991:08",243.600000
"1991:09",243.000000
"1991:10",244.300000
"1991:11",241.700000
"1991:12",240.600000
"1992:01",238.500000
"1992:02",237.300000
"1992:03",239.700000
"1992:04",243.530000
"1992:05",245.780000
"1992:06",247.840000
"1992:07",246.720000
"1992:08",245.020000
"1992:09",245.620000
"1992:10",241.510000
"1992:11",238.260000
"1992:12",237.490000
"1993:01",238.320000
"1993:02",238.500000
"1993:03",238.500000
"1993:04",237.370000
"1993:05",235.260000
"1993:06",233.320000
"1993:07",235.550000
"1993:08",236.110000
"1993:09",235.280000
"1993:10",237.480000
"1993:11",241.450000
"1993:12",245.800000
"1994:01",247.660000
"1994:02",250.770000
"1994:03",253.730000
"1994:04",251.613700
"1994:05",256.667000
"1994:06",256.700000
"1994:07",259.669999
"1994:08",264.087999
"1994:09",267.638000
"1994:10",269.052999
"1994:11",274.844000
"1994:12",283.007999
"1995:01",287.983999
"1995:02",285.721999
"1995:03",285.974999
"1995:04",286.301000
"1995:05",288.330999
"1995:06",294.827000
"1995:07",295.377999
"1995:08",292.002999
"1995:09",290.653999
"1995:10",292.514999
"1995:11",296.457999
"1995:12",290.914000
"1996:01",286.751800
"1996:02",284.926999
