C1,C2,C3,C4,C5,C6,E1,E2,E3
0.00272840142616,0.00118684456001,-0.01581417343642,-0.00256612059387,-0.2,5.04838322472,-1.306036525192,-2.65984412373758,-1.56413267727469
0.00966375013432,0.00594394984906,0.01449539243838,0.00001366883035,-0.22,-1.499221224356,-1.28850650052756,-2.64882380742298,-1.56154514986206
0.02019405927471,0.01339888102192,0.02837446210618,0.01835827676744,-0.24,-2.619334783464,-1.30024350822609,-2.65458714248118,-1.57764256363516
0.02371998634525,0.01498284691628,0.01184905419504,0.00286534506902,0.26,3.872516817616,-1.32085892460716,-2.66502603546346,-1.58994651271911
0.02477578360164,0.01172438163614,0.03706968141629,-0.0026698667144,0.25,1.701895544372,-1.3158649551544,-2.6559882650694,-1.60432155828459
0.01733816351876,0.01309429882305,0.03739611345446,-0.00154730711653,0.36,-1.312843301036,-1.32403231740741,-2.63595608802071,-1.62987933661933
0.00934264064127,0.00640136374055,0.01617695924944,-0.00463755651444,0.01,0.428181635164,-1.33413345860247,-2.62513577751348,-1.65078589471155
0.01245244923366,0.0139388565611,0.00376834816133,0.00020044145764,0.63,-2.367828911044,-1.33642444055821,-2.61683348597128,-1.6652398099744
-0.00622188534639,-0.00008188967355,-0.02137570659857,-0.00821071087564,0.18,2.669595793404,-1.34335873788452,-2.63995885441791,-1.67845024785603
-0.00062345923651,-0.0007896672985,0.00212905550744,-0.00596274073529,0.19,0.123351428072,-1.32508617656719,-2.6379884746681,-1.67253415522582
-0.0002245022983,-0.0003221052441,-0.00414263013876,-0.00966382149747,-0.29,0.438847284424,-1.32392541072698,-2.63404103624734,-1.6758219680645
0.00718218598073,0.00733701467095,-0.01553440082041,-0.0070096232072,0.59,-0.018587278176,-1.32340113326388,-2.63587914010546,-1.68695946834548
-0.00184335423574,0.00386361147223,-0.00508557225528,-0.00478974678146,0.21,0.462017112576,-1.32180815163209,-2.65838911289334,-1.69697014435884
-0.0053907433514,-0.00067054400239,-0.01437934931435,-0.00272942356089,-0.05,-1.325956789256,-1.313195601674,-2.65821802572914,-1.69682231283557
0.0038938062374,0.00353633715981,0.00738167019039,-0.00548227856931,0.1,0.808319372772,-1.31334312176655,-2.67461548322546,-1.69644351363416
-0.02344648062002,-0.00013848078545,-0.01932658185806,-0.00261193671992,0.42,-2.437556881964,-1.31052678248907,-2.66654495978432,-1.70389481824341
-0.03587095733069,-0.01377830508412,-0.0555035384996,-0.00733755307197,-1.14,0.110733126196,-1.29252232546919,-2.67339682463974,-1.680591523053
-0.00074974881468,0.00786682223277,-0.03435099460108,0.02428049883343,-1.31,-1.07692991886,-1.27031396775282,-2.69034049217179,-1.65664426702762
0.02486625037285,0.01193925883706,0.00498540154041,0.01283978048541,-0.22,1.20592464668,-1.27115664602067,-2.73293334761359,-1.6454439173974
0.02132000869721,0.00666212769826,0.05277036081633,0.0051592069816,1.72,0.051022627388,-1.28307415651374,-2.7490025986107,-1.66081820804815
0.01713038847377,0.01168976213185,0.05272855461834,0.00361889560422,0.19,2.172101462072,-1.29316370802941,-2.71636451177091,-1.66463760583096
0.02191826543737,0.00976923192658,0.02990963870852,0.0022550737229,0.13,-1.227379970908,-1.29117731436295,-2.66940938347076,-1.67469871482438
-0.00854046487079,0.00542398806819,0.00550426273537,0.00687998226108,0.25,0.13479585334,-1.31030222307898,-2.67115248187755,-1.69897824282715
0.0094672356995,0.00014858161593,-0.01528466069169,0.00169034859443,0.85,-2.874241869368,-1.29379081187188,-2.65477412336685,-1.67974005332824
0.01557069969586,0.00069972397265,0.02101505927927,-0.01125697820815,0.3,4.244439353632,-1.31232356724547,-2.69620753925819,-1.68705444399837
-0.01231069776822,0.00994991118774,-0.03332320683731,0.00234472574811,-1.12,-3.662790986408,-1.31085412811826,-2.66656502751649,-1.70505998954888
-0.00522711107564,-0.00723683166065,-0.02948566500364,0.00698546149472,-0.93,1.111897800176,-1.30627202077128,-2.71031699877184,-1.7059389219446
-0.01713061253544,-0.00099592938967,-0.00308185018574,0.01370257180392,0,-1.304729381052,-1.30693735104866,-2.72913691256971,-1.69907803289039
0.00174803156294,-0.00265728542628,-0.01245634170684,0.01138773702247,-0.06,-0.585809068872,-1.29400017314792,-2.72086085300207,-1.66825045420775
0.01141696439399,0.01083201246142,0.00476855783679,0.00881661128751,0.05,3.00622545876,-1.30119499413705,-2.73890984447263,-1.66058806768353
0.01229943268831,-0.00217784158455,0.02031608906093,0.00879282639181,-0.05,-0.369128675764,-1.29090224603307,-2.72879093400455,-1.65846134846038
0.01710343540712,0.01507375330682,0.02731660199982,0.01266971676928,0.06,-1.665654785564,-1.30850736806621,-2.72456498160911,-1.66502572587703
0.01171992164236,0.00938578121202,0.01702564935318,0.01041527823113,0.42,2.700674166004,-1.31897787468681,-2.72627815597865,-1.67485047626788
0.00976366749284,0.00608251718156,0.02885505132773,0.0171707960573,0.01,-2.243643534624,-1.31021226920693,-2.70533477386889,-1.66875519943674
0.00493305009147,0.00506015249666,0.0033478159757,0.00951532814498,0.19,-0.061193373516,-1.32398010642086,-2.70085689134088,-1.66722943540044
