"","POP"
"1969:03",202023.000000
"1969:04",202161.000000
"1969:05",202331.000000
"1969:06",202507.000000
"1969:07",202677.000000
"1969:08",202877.000000
"1969:09",203090.000000
"1969:10",203302.000000
"1969:11",203500.000000
"1969:12",203675.000000
"1970:01",203849.000000
"1970:02",204008.000000
"1970:03",204156.000000
"1970:04",204401.000000
"1970:05",204607.000000
"1970:06",204830.000000
"1970:07",205052.000000
"1970:08",205295.000000
"1970:09",205540.000000
"1970:10",205788.000000
"1970:11",206024.000000
"1970:12",206238.000000
"1971:01",206466.000000
"1971:02",206668.000000
"1971:03",206855.000000
"1971:04",207065.000000
"1971:05",207260.000000
"1971:06",207462.000000
"1971:07",207661.000000
"1971:08",207881.000000
"1971:09",208114.000000
"1971:10",208345.000000
"1971:11",208555.000000
"1971:12",208740.000000
"1972:01",208917.000000
"1972:02",209061.000000
"1972:03",209212.000000
"1972:04",209386.000000
"1972:05",209545.000000
"1972:06",209725.000000
"1972:07",209896.000000
"1972:08",210075.000000
"1972:09",210278.000000
"1972:10",210479.000000
"1972:11",210656.000000
"1972:12",210821.000000
"1973:01",210985.000000
"1973:02",211120.000000
"1973:03",211254.000000
"1973:04",211420.000000
"1973:05",211577.000000
"1973:06",211746.000000
"1973:07",211909.000000
"1973:08",212092.000000
"1973:09",212289.000000
"1973:10",212475.000000
"1973:11",212634.000000
"1973:12",212785.000000
"1974:01",212932.000000
"1974:02",213074.000000
"1974:03",213211.000000
"1974:04",213361.000000
"1974:05",213513.000000
"1974:06",213686.000000
"1974:07",213854.000000
"1974:08",214042.000000
"1974:09",214246.000000
"1974:10",214451.000000
"1974:11",214625.000000
"1974:12",214782.000000
"1975:01",214931.000000
"1975:02",215065.000000
"1975:03",215198.000000
"1975:04",215353.000000
"1975:05",215523.000000
"1975:06",215768.000000
"1975:07",215973.000000
"1975:08",216195.000000
"1975:09",216393.000000
"1975:10",216587.000000
"1975:11",216771.000000
"1975:12",216931.000000
"1976:01",217095.000000
"1976:02",217249.000000
"1976:03",217381.000000
"1976:04",217528.000000
"1976:05",217685.000000
"1976:06",217861.000000
"1976:07",218035.000000
"1976:08",218233.000000
"1976:09",218440.000000
"1976:10",218644.000000
"1976:11",218834.000000
"1976:12",219006.000000
"1977:01",219179.000000
"1977:02",219344.000000
"1977:03",219504.000000
"1977:04",219684.000000
"1977:05",219859.000000
"1977:06",220046.000000
"1977:07",220239.000000
"1977:08",220458.000000
"1977:09",220688.000000
"1977:10",220904.000000
"1977:11",221109.000000
"1977:12",221303.000000
"1978:01",221477.000000
"1978:02",221629.000000
"1978:03",221792.000000
"1978:04",221991.000000
"1978:05",222176.000000
"1978:06",222379.000000
"1978:07",222585.000000
"1978:08",222805.000000
"1978:09",223053.000000
"1978:10",223271.000000
"1978:11",223477.000000
"1978:12",223670.000000
"1979:01",223865.000000
"1979:02",224053.000000
"1979:03",224235.000000
"1979:04",224438.000000
"1979:05",224632.000000
"1979:06",224843.000000
"1979:07",225055.000000
"1979:08",225295.000000
"1979:09",225547.000000
"1979:10",225801.000000
"1979:11",226027.000000
"1979:12",226243.000000
"1980:01",226451.000000
"1980:02",226656.000000
"1980:03",226849.000000
"1980:04",227061.000000
"1980:05",227263.000000
"1980:06",227544.000000
"1980:07",227757.000000
"1980:08",227991.000000
"1980:09",228231.000000
"1980:10",228468.000000
"1980:11",228679.000000
"1980:12",228861.000000
"1981:01",229033.000000
"1981:02",229183.000000
"1981:03",229349.000000
"1981:04",229542.000000
"1981:05",229727.000000
"1981:06",229925.000000
"1981:07",230138.000000
"1981:08",230374.000000
"1981:09",230613.000000
"1981:10",230848.000000
"1981:11",231043.000000
"1981:12",231222.000000
"1982:01",231405.000000
"1982:02",231573.000000
"1982:03",231743.000000
"1982:04",231932.000000
"1982:05",232111.000000
"1982:06",232309.000000
"1982:07",232520.000000
"1982:08",232739.000000
"1982:09",232962.000000
"1982:10",233184.000000
"1982:11",233379.000000
"1982:12",233559.000000
"1983:01",233736.000000
"1983:02",233901.000000
"1983:03",234054.000000
"1983:04",234237.000000
"1983:05",234411.000000
"1983:06",234599.000000
"1983:07",234799.000000
"1983:08",235005.000000
"1983:09",235225.000000
"1983:10",235439.000000
"1983:11",235623.000000
"1983:12",235796.000000
"1984:01",235961.000000
"1984:02",236118.000000
"1984:03",236280.000000
"1984:04",236458.000000
"1984:05",236624.000000
"1984:06",236807.000000
"1984:07",237001.000000
"1984:08",237218.000000
"1984:09",237447.000000
"1984:10",237663.000000
"1984:11",237865.000000
"1984:12",238039.000000
"1985:01",238207.000000
"1985:02",238356.000000
"1985:03",238500.000000
"1985:04",238684.000000
"1985:05",238869.000000
"1985:06",239074.000000
"1985:07",239279.000000
"1985:08",239505.000000
"1985:09",239736.000000
"1985:10",239960.000000
"1985:11",240170.000000
"1985:12",240355.000000
"1986:01",240532.000000
"1986:02",240705.000000
"1986:03",240857.000000
"1986:04",241045.000000
"1986:05",241226.000000
"1986:06",241415.000000
"1986:07",241613.000000
"1986:08",241821.000000
"1986:09",242043.000000
"1986:10",242275.000000
"1986:11",242467.000000
"1986:12",242653.000000
"1987:01",242825.000000
"1987:02",242993.000000
"1987:03",243153.000000
"1987:04",243346.000000
"1987:05",243511.000000
"1987:06",243711.000000
"1987:07",243915.000000
"1987:08",244121.000000
"1987:09",244344.000000
"1987:10",244567.000000
"1987:11",244754.000000
"1987:12",244941.000000
"1988:01",245110.000000
"1988:02",245243.000000
"1988:03",245385.000000
"1988:04",245538.000000
"1988:05",245695.000000
"1988:06",245898.000000
"1988:07",246113.000000
"1988:08",246348.000000
"1988:09",246590.000000
"1988:10",246821.000000
"1988:11",247031.000000
"1988:12",247177.552212
