"","FYFF"
"1959:01",2.480000
"1959:02",2.400000
"1959:03",2.800000
"1959:04",2.960000
"1959:05",2.900000
"1959:06",3.390000
"1959:07",3.440000
"1959:08",3.500000
"1959:09",3.760000
"1959:10",3.980000
"1959:11",4.000000
"1959:12",3.990000
"1960:01",3.990000
"1960:02",3.970000
"1960:03",3.840000
"1960:04",3.920000
"1960:05",3.850000
"1960:06",3.320000
"1960:07",3.230000
"1960:08",2.980000
"1960:09",2.600000
"1960:10",2.470000
"1960:11",2.440000
"1960:12",1.980000
"1961:01",1.450000
"1961:02",2.540000
"1961:03",2.020000
"1961:04",1.500000
"1961:05",1.980000
"1961:06",1.730000
"1961:07",1.160000
"1961:08",2.000000
"1961:09",1.880000
"1961:10",2.260000
"1961:11",2.620000
"1961:12",2.330000
"1962:01",2.140000
"1962:02",2.370000
"1962:03",2.700000
"1962:04",2.690000
"1962:05",2.290000
"1962:06",2.680000
"1962:07",2.710000
"1962:08",2.930000
"1962:09",2.900000
"1962:10",2.900000
"1962:11",2.940000
"1962:12",2.930000
"1963:01",2.910000
"1963:02",3.000000
"1963:03",2.980000
"1963:04",2.900000
"1963:05",3.000000
"1963:06",2.990000
"1963:07",3.020000
"1963:08",3.490000
"1963:09",3.480000
"1963:10",3.500000
"1963:11",3.480000
"1963:12",3.380000
"1964:01",3.480000
"1964:02",3.480000
"1964:03",3.430000
"1964:04",3.470000
"1964:05",3.500000
"1964:06",3.500000
"1964:07",3.420000
"1964:08",3.500000
"1964:09",3.450000
"1964:10",3.360000
"1964:11",3.520000
"1964:12",3.850000
"1965:01",3.900000
"1965:02",3.980000
"1965:03",4.040000
"1965:04",4.090000
"1965:05",4.100000
"1965:06",4.040000
"1965:07",4.090000
"1965:08",4.120000
"1965:09",4.010000
"1965:10",4.080000
"1965:11",4.100000
"1965:12",4.320000
"1966:01",4.420000
"1966:02",4.600000
"1966:03",4.650000
"1966:04",4.670000
"1966:05",4.900000
"1966:06",5.170000
"1966:07",5.300000
"1966:08",5.530000
"1966:09",5.400000
"1966:10",5.530000
"1966:11",5.770000
"1966:12",5.400000
"1967:01",4.940000
"1967:02",5.000000
"1967:03",4.530000
"1967:04",4.050000
"1967:05",3.940000
"1967:06",3.980000
"1967:07",3.790000
"1967:08",3.890000
"1967:09",4.000000
"1967:10",3.880000
"1967:11",4.120000
"1967:12",4.510000
"1968:01",4.600000
"1968:02",4.720000
"1968:03",5.050000
"1968:04",5.760000
"1968:05",6.120000
"1968:06",6.070000
"1968:07",6.020000
"1968:08",6.030000
"1968:09",5.780000
"1968:10",5.920000
"1968:11",5.810000
"1968:12",6.020000
"1969:01",6.300000
"1969:02",6.640000
"1969:03",6.790000
"1969:04",7.410000
"1969:05",8.670000
"1969:06",8.900000
"1969:07",8.610000
"1969:08",9.190000
"1969:09",9.150000
"1969:10",9.000000
"1969:11",8.850000
"1969:12",8.970000
"1970:01",8.980000
"1970:02",8.980000
"1970:03",7.760000
"1970:04",8.100000
"1970:05",7.940000
"1970:06",7.600000
"1970:07",7.210000
"1970:08",6.610000
"1970:09",6.290000
"1970:10",6.200000
"1970:11",5.600000
"1970:12",4.900000
"1971:01",4.140000
"1971:02",3.720000
"1971:03",3.710000
"1971:04",4.150000
"1971:05",4.630000
"1971:06",4.910000
"1971:07",5.310000
"1971:08",5.570000
"1971:09",5.550000
"1971:10",5.200000
"1971:11",4.910000
"1971:12",4.140000
"1972:01",3.500000
"1972:02",3.290000
"1972:03",3.830000
"1972:04",4.170000
"1972:05",4.270000
"1972:06",4.460000
"1972:07",4.550000
"1972:08",4.800000
"1972:09",4.870000
"1972:10",5.040000
"1972:11",5.060000
"1972:12",5.330000
"1973:01",5.940000
"1973:02",6.580000
"1973:03",7.090000
"1973:04",7.120000
"1973:05",7.840000
"1973:06",8.490000
"1973:07",10.400000
"1973:08",10.500000
"1973:09",10.780000
"1973:10",10.010000
"1973:11",10.030000
"1973:12",9.950000
"1974:01",9.650000
"1974:02",8.970000
"1974:03",9.350000
"1974:04",10.510000
"1974:05",11.310000
"1974:06",11.930000
"1974:07",12.920000
"1974:08",12.010000
"1974:09",11.340000
"1974:10",10.060000
"1974:11",9.450000
"1974:12",8.530000
"1975:01",7.130000
"1975:02",6.240000
"1975:03",5.540000
"1975:04",5.490000
"1975:05",5.220000
"1975:06",5.550000
"1975:07",6.100000
"1975:08",6.140000
"1975:09",6.240000
"1975:10",5.820000
"1975:11",5.220000
"1975:12",5.200000
"1976:01",4.870000
"1976:02",4.770000
"1976:03",4.840000
"1976:04",4.820000
"1976:05",5.290000
"1976:06",5.480000
"1976:07",5.310000
"1976:08",5.290000
"1976:09",5.250000
"1976:10",5.030000
"1976:11",4.950000
"1976:12",4.650000
"1977:01",4.610000
"1977:02",4.680000
"1977:03",4.690000
"1977:04",4.730000
"1977:05",5.350000
"1977:06",5.390000
"1977:07",5.420000
"1977:08",5.900000
"1977:09",6.140000
"1977:10",6.470000
"1977:11",6.510000
